Nombre del Partido;Provincia;Municipio;Candidato;Posición;Titularidad;Nombre completo
ACCION DEMOCRATICA NACIONALISTA;José María Linares;Puna;Alcalde;1;TITULAR;JUAN CARLOS MAMANI BALLESTEROS
UNIDAD CIVICA SOLIDARIDAD;José María Linares;Puna;Alcalde;2;TITULAR;SILVIA CUELLAR BOCIO
FRENTE DE UNIDAD NACIONAL;José María Linares;Puna;Alcalde;3;TITULAR;EDUARDO SOTO CONDORI
MOVIMIENTO TERCER SISTEMA;José María Linares;Puna;Alcalde;4;TITULAR;FABIAN LLANOS IBARRA
MOVIMIENTO DE ORGANIZACIÓN POPULAR;José María Linares;Puna;Alcalde;5;TITULAR;RUBEN PEREZ ALIAGA
ALIANZA SOCIAL;José María Linares;Puna;Alcalde;6;TITULAR;LUIS ARMANDO PINEDA ANZE
AUTONOMÍA PARA BOLIVIA SÚMATE;José María Linares;Puna;Alcalde;7;TITULAR;RENE RODRIGUEZ CARMONA
MOVIMIENTO DE RENOVACIÓN NACIONAL;José María Linares;Puna;Alcalde;8;TITULAR;JUAN MESA GARNICA
ALIANZA PROYECTO PAÍS;José María Linares;Puna;Alcalde;9;TITULAR;JAVIER VARGAS MAMANI
LIBERTAD Y REPÚBLICA;José María Linares;Puna;Alcalde;10;TITULAR;PANFILO FERNANDEZ CHOQUE
CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;José María Linares;Puna;Alcalde;11;TITULAR;SENOBIO DAZA ESPINO
ALIANZA UNIDOS POR LOS PUEBLOS;José María Linares;Puna;Alcalde;12;TITULAR;ENRIQUE FLORES OLIMPO
ALIANZA PATRIA UNIDOS;José María Linares;Puna;Alcalde;13;TITULAR;JHONNY AILLON LACOA
ACCION DEMOCRATICA NACIONALISTA;José María Linares;Puna;Concejal;1;TITULAR;
UNIDAD CIVICA SOLIDARIDAD;José María Linares;Puna;Concejal;2;TITULAR;
FRENTE DE UNIDAD NACIONAL;José María Linares;Puna;Concejal;3;TITULAR;
MOVIMIENTO TERCER SISTEMA;José María Linares;Puna;Concejal;4;TITULAR;
MOVIMIENTO DE ORGANIZACIÓN POPULAR;José María Linares;Puna;Concejal;5;TITULAR;
ALIANZA SOCIAL;José María Linares;Puna;Concejal;6;TITULAR;
AUTONOMÍA PARA BOLIVIA SÚMATE;José María Linares;Puna;Concejal;7;TITULAR;
MOVIMIENTO DE RENOVACIÓN NACIONAL;José María Linares;Puna;Concejal;8;TITULAR;
ALIANZA PROYECTO PAÍS;José María Linares;Puna;Concejal;9;TITULAR;
LIBERTAD Y REPÚBLICA;José María Linares;Puna;Concejal;10;TITULAR;
CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;José María Linares;Puna;Concejal;11;TITULAR;
ALIANZA UNIDOS POR LOS PUEBLOS;José María Linares;Puna;Concejal;12;TITULAR;
ALIANZA PATRIA UNIDOS;José María Linares;Puna;Concejal;13;TITULAR;
