mesaNumero;tipo;voto1;voto2;voto3;voto4;voto5;voto6;voto7;voto8;voto9;voto10;voto11;voto12;voto13;votoValido;votoBlanco;votoNuloDirecto;votoNuloDeclinacion;totalVotoNulo;votoEmitido;status
1;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
2;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
2;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
3;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
3;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
4;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
4;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
5;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
5;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
2;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
2;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
3;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
3;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
4;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
4;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
5;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
5;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;CONCEJAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
1;ALCALDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALIDA
