tipo;numeroPapeleta;nombrePartido;siglaPartido;colorPartido;nombreCandidato;esTitular
ALCALDE;1;MOVIMIENTO DE ORGANIZACIÓN POPULAR;MOP;#6d93ef;MOVIMIENTO DE ORGANIZACIÓN POPULAR;true
CONCEJAL;1;MOVIMIENTO DE ORGANIZACIÓN POPULAR;MOP;#6d93ef;MOVIMIENTO DE ORGANIZACIÓN POPULAR;true
ALCALDE;2;UNIDAD CIVICA SOLIDARIDAD;UCS;#f4fe23;UNIDAD CIVICA SOLIDARIDAD;true
CONCEJAL;2;UNIDAD CIVICA SOLIDARIDAD;UCS;#f4fe23;UNIDAD CIVICA SOLIDARIDAD;true
ALCALDE;3;ALIANZA PATRIA UNIDOS;APU;#2c55bf;ALIANZA PATRIA UNIDOS;true
CONCEJAL;3;ALIANZA PATRIA UNIDOS;APU;#2c55bf;ALIANZA PATRIA UNIDOS;true
ALCALDE;4;MOVIMIENTO TERCER SISTEMA;MTS;#e27f4d;MOVIMIENTO TERCER SISTEMA;true
CONCEJAL;4;MOVIMIENTO TERCER SISTEMA;MTS;#e27f4d;MOVIMIENTO TERCER SISTEMA;true
ALCALDE;5;ALIANZA UNIDOS POR LOS PUEBLOS;AUP;#dc0e31;ALIANZA UNIDOS POR LOS PUEBLOS;true
CONCEJAL;5;ALIANZA UNIDOS POR LOS PUEBLOS;AUP;#dc0e31;ALIANZA UNIDOS POR LOS PUEBLOS;true
ALCALDE;6;LIBERTAD Y REPÚBLICA;LIRE;#b7df6e;LIBERTAD Y REPÚBLICA;true
CONCEJAL;6;LIBERTAD Y REPÚBLICA;LIRE;#b7df6e;LIBERTAD Y REPÚBLICA;true
ALCALDE;8;AUTONOMÍA PARA BOLIVIA SÚMATE;APB;#84b4d1;AUTONOMÍA PARA BOLIVIA SÚMATE;true
CONCEJAL;8;AUTONOMÍA PARA BOLIVIA SÚMATE;APB;#84b4d1;AUTONOMÍA PARA BOLIVIA SÚMATE;true
ALCALDE;9;ALIANZA SOCIAL;ALSO;#1fc45e;ALIANZA SOCIAL;true
CONCEJAL;9;ALIANZA SOCIAL;ALSO;#1fc45e;ALIANZA SOCIAL;true
ALCALDE;7;ALIANZA PROYECTO PAÍS;APP;#7423c7;ALIANZA PROYECTO PAÍS;true
CONCEJAL;7;ALIANZA PROYECTO PAÍS;APP;#7423c7;ALIANZA PROYECTO PAÍS;true
ALCALDE;10;CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;CAO;#7533b1;CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;true
CONCEJAL;10;CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;CAO;#7533b1;CONCEJO DE AYLLUS ORIGINARIOS DE POTOSI;true
ALCALDE;11;FRENTE DE UNIDAD NACIONAL;FUN;#8fec04;FRENTE DE UNIDAD NACIONAL;true
CONCEJAL;11;FRENTE DE UNIDAD NACIONAL;FUN;#8fec04;FRENTE DE UNIDAD NACIONAL;true
